distance,generated_time,instantaneous_speed,latitude,longitude
693.853,"2014-01-08 16:20:56",0.0701921,-36.8544,174.767
693.853,"2014-01-08 16:20:58",0.0598067,-36.8544,174.767
693.853,"2014-01-08 16:20:59",0.0548094,-36.8544,174.767
693.853,"2014-01-08 16:21:01",0.045384,-36.8544,174.767
693.853,"2014-01-08 16:21:02",0.040923,-36.8544,174.767
693.853,"2014-01-08 16:21:03",0.0366493,-36.8544,174.767
693.853,"2014-01-08 16:21:05",0.0289966,-36.8544,174.767
693.853,"2014-01-08 16:21:06",0.0254967,-36.8544,174.767
693.853,"2014-01-08 16:21:08",0.0192857,-36.8544,174.767
693.853,"2014-01-08 16:21:09",0.0165138,-36.8544,174.767
693.853,"2014-01-08 16:21:11",0.0116797,-36.8544,174.767
693.853,"2014-01-08 16:21:13",0.00782042,-36.8544,174.767
693.853,"2014-01-08 16:21:14",0.00625268,-36.8544,174.767
693.853,"2014-01-08 16:21:15",0.00496146,-36.8544,174.767
693.853,"2014-01-08 16:21:16",0.0040026,-36.8544,174.767
693.853,"2014-01-08 16:21:18",0.00322878,-36.8544,174.767
693.853,"2014-01-08 16:21:20",0.00366598,-36.8544,174.767
693.853,"2014-01-08 16:21:21",0.00403543,-36.8544,174.767
693.853,"2014-01-08 16:21:23",0.00472968,-36.8544,174.767
693.853,"2014-01-08 16:21:25",0.00522357,-36.8544,174.767
693.853,"2014-01-08 16:21:26",0.00538159,-36.8544,174.767
693.853,"2014-01-08 16:21:28",0.00553193,-36.8544,174.767
693.853,"2014-01-08 16:21:30",0.00549407,-36.8544,174.767
693.853,"2014-01-08 16:21:31",0.005415,-36.8544,174.767
693.853,"2014-01-08 16:21:33",0.00516455,-36.8544,174.767
693.853,"2014-01-08 16:21:35",0.00482123,-36.8544,174.767
693.853,"2014-01-08 16:21:36",0.00462471,-36.8544,174.767
693.853,"2014-01-08 16:21:38",0.00418176,-36.8544,174.767
693.853,"2014-01-08 16:21:40",0.00372728,-36.8544,174.767
693.853,"2014-01-08 16:21:41",0.00349898,-36.8544,174.767
693.853,"2014-01-08 16:21:43",0.00303784,-36.8544,174.767
693.853,"2014-01-08 16:21:44",0.00281185,-36.8544,174.767
693.853,"2014-01-08 16:21:45",0.00258986,-36.8544,174.767
693.853,"2014-01-08 16:21:47",0.00258986,-36.8544,174.767
693.853,"2014-01-08 16:21:51",0.00258986,-36.8544,174.767
693.853,"2014-01-08 16:21:56",0.00258986,-36.8544,174.767
693.853,"2014-01-08 16:22:01",0.00258986,-36.8544,174.767
693.853,"2014-01-08 16:22:06",0.00258986,-36.8544,174.767
693.853,"2014-01-08 16:22:08",0,-36.8544,174.767
693.853,"2014-01-08 16:22:10",0,-36.8544,174.767
693.853,"2014-01-08 16:22:11",0,-36.8544,174.767
693.853,"2014-01-08 16:22:13",0,-36.8544,174.767
693.853,"2014-01-08 16:22:14",0,-36.8544,174.767
693.853,"2014-01-08 16:22:16",0,-36.8544,174.767
693.853,"2014-01-08 16:22:18",0,-36.8544,174.767
693.853,"2014-01-08 16:22:19",0,-36.8544,174.767
693.853,"2014-01-08 16:22:21",0,-36.8544,174.767
693.853,"2014-01-08 16:22:23",0,-36.8544,174.767
693.853,"2014-01-08 16:22:25",0,-36.8544,174.767
693.853,"2014-01-08 16:22:26",0,-36.8544,174.767
693.853,"2014-01-08 16:22:27",0,-36.8544,174.767
693.853,"2014-01-08 16:22:28",0,-36.8544,174.767
693.853,"2014-01-08 16:22:30",0,-36.8544,174.767
693.853,"2014-01-08 16:22:31",0,-36.8544,174.767
693.853,"2014-01-08 16:22:33",0,-36.8544,174.767
693.853,"2014-01-08 16:22:34",0,-36.8544,174.767
693.853,"2014-01-08 16:22:36",0,-36.8544,174.767
693.853,"2014-01-08 16:22:38",0,-36.8544,174.767
693.853,"2014-01-08 16:22:39",0,-36.8544,174.767
693.853,"2014-01-08 16:22:41",0,-36.8544,174.767
693.853,"2014-01-08 16:22:47",0,-36.8544,174.767
693.853,"2014-01-08 16:22:52",0,-36.8544,174.767
693.853,"2014-01-08 16:22:57",0,-36.8544,174.767
693.853,"2014-01-08 16:23:02",0,-36.8544,174.767
693.853,"2014-01-08 16:23:03",1.93384,-36.8555,174.767
693.853,"2014-01-08 16:23:04",1.54893,-36.8555,174.767
693.853,"2014-01-08 16:23:05",1.04526,-36.8555,174.767
693.853,"2014-01-08 16:23:07",0.681443,-36.8555,174.767
693.853,"2014-01-08 16:23:08",0.340167,-36.8555,174.767
693.853,"2014-01-08 16:23:10",0.160653,-36.8555,174.767
693.853,"2014-01-08 16:23:12",0.112244,-36.8555,174.767
693.853,"2014-01-08 16:23:13",0.0286896,-36.8555,174.767
693.853,"2014-01-08 16:23:15",2.36422,-36.8554,174.767
693.853,"2014-01-08 16:23:16",3.75199,-36.8554,174.767
693.853,"2014-01-08 16:23:17",5.33037,-36.8555,174.767
693.853,"2014-01-08 16:23:18",7.166,-36.8556,174.767
693.853,"2014-01-08 16:23:20",10.602,-36.8557,174.766
861.006,"2014-01-08 16:23:22",11.0326,-36.8558,174.766
880.992,"2014-01-08 16:23:23",9.56996,-36.8558,174.766
896.402,"2014-01-08 16:23:25",8.51403,-36.8558,174.766
896.402,"2014-01-08 16:23:26",7.482,-36.8558,174.766
916.007,"2014-01-08 16:23:28",7.38214,-36.8559,174.766
916.007,"2014-01-08 16:23:29",4.20181,-36.8559,174.766
932.195,"2014-01-08 16:23:30",3.80513,-36.856,174.766
932.195,"2014-01-08 16:23:32",4.1427,-36.856,174.766
952.522,"2014-01-08 16:23:33",6.07444,-36.8561,174.766
963.146,"2014-01-08 16:23:34",7.29103,-36.8562,174.766
987.866,"2014-01-08 16:23:36",10.2476,-36.8564,174.766
1002,"2014-01-08 16:23:37",11.3742,-36.8565,174.766
1016.86,"2014-01-08 16:23:38",12.1576,-36.8566,174.765
1046.97,"2014-01-08 16:23:40",13.5762,-36.8568,174.765
1061.36,"2014-01-08 16:23:42",14.2324,-36.8569,174.765
1092.6,"2014-01-08 16:23:43",14.5983,-36.8571,174.765
1119.96,"2014-01-08 16:23:45",14.4288,-36.8573,174.765
1132.92,"2014-01-08 16:23:47",13.9912,-36.8574,174.765
1158.26,"2014-01-08 16:23:48",13.0445,-36.8575,174.764
1182.41,"2014-01-08 16:23:50",12.9516,-36.8577,174.764
1194.77,"2014-01-08 16:23:51",12.7383,-36.8578,174.764
1194.77,"2014-01-08 16:23:52",12.7383,-36.8578,174.764
1227.28,"2014-01-08 16:23:54",10.9645,-36.858,174.764
1242.95,"2014-01-08 16:23:56",9.32108,-36.8581,174.764
1242.95,"2014-01-08 16:23:57",7.82166,-36.8581,174.764
1252.06,"2014-01-08 16:23:59",4.67436,-36.8582,174.764
1252.06,"2014-01-08 16:24:01",1.89258,-36.8582,174.764
1252.06,"2014-01-08 16:24:03",0.437884,-36.8581,174.764
1252.06,"2014-01-08 16:24:04",0.423124,-36.8581,174.764
1252.06,"2014-01-08 16:24:05",0.425671,-36.8581,174.764
1252.06,"2014-01-08 16:24:07",0.335031,-36.8581,174.764
1252.06,"2014-01-08 16:24:09",0.0371774,-36.8581,174.764
1252.06,"2014-01-08 16:24:10",0.0106882,-36.8581,174.764
1252.06,"2014-01-08 16:24:11",0.0150076,-36.8581,174.764
1252.06,"2014-01-08 16:24:13",0.0124413,-36.8581,174.764
1252.06,"2014-01-08 16:24:15",0.00417838,-36.8581,174.764
1252.06,"2014-01-08 16:24:17",0.000472628,-36.8581,174.764
1252.06,"2014-01-08 16:24:18",0.000555452,-36.8581,174.764
1252.06,"2014-01-08 16:24:19",0.000619106,-36.8581,174.764
1252.06,"2014-01-08 16:24:20",0.000487156,-36.8581,174.764
1252.06,"2014-01-08 16:24:22",0.000181893,-36.8581,174.764
1252.06,"2014-01-08 16:24:23",0.0000787811,-36.8581,174.764
1252.06,"2014-01-08 16:24:24",0.0000226871,-36.8581,174.764
1252.06,"2014-01-08 16:24:26",0.0000237532,-36.8581,174.764
1252.06,"2014-01-08 16:24:27",0.0000204316,-36.8581,174.764
1252.06,"2014-01-08 16:24:28",0.0000140584,-36.8581,174.764
1252.06,"2014-01-08 16:24:30",0.00000364674,-36.8581,174.764
1252.06,"2014-01-08 16:24:31",0.00000106695,-36.8581,174.764
1252.06,"2014-01-08 16:24:32",0.000000730194,-36.8581,174.764
1252.06,"2014-01-08 16:24:35",0.000000804378,-36.8581,174.764
1263.55,"2014-01-08 16:24:36",2.48262,-36.8581,174.764
1263.55,"2014-01-08 16:24:37",2.07282,-36.858,174.764
1263.55,"2014-01-08 16:24:39",0.49799,-36.858,174.764
1263.55,"2014-01-08 16:24:41",0.141703,-36.8581,174.764
1263.55,"2014-01-08 16:24:43",0.181952,-36.8581,174.764
1263.55,"2014-01-08 16:24:44",0.101984,-36.8581,174.764
1263.55,"2014-01-08 16:24:45",0.0542592,-36.8581,174.764
1263.55,"2014-01-08 16:24:47",0.00487125,-36.8581,174.764
1263.55,"2014-01-08 16:24:48",0.00462185,-36.8581,174.764
1263.55,"2014-01-08 16:24:49",0.00689159,-36.8581,174.764
1263.55,"2014-01-08 16:24:50",0.00605126,-36.8581,174.764
1263.55,"2014-01-08 16:24:51",0.00413818,-36.8581,174.764
1263.55,"2014-01-08 16:24:52",0.00229702,-36.8581,174.764
1263.55,"2014-01-08 16:24:54",0.000220026,-36.8581,174.764
1263.55,"2014-01-08 16:24:56",0.000261586,-36.8581,174.764
1263.55,"2014-01-08 16:24:58",0.000240894,-36.8581,174.764
1263.55,"2014-01-08 16:24:59",0.000102221,-36.8581,174.764
1263.55,"2014-01-08 16:25:00",0.0000456712,-36.8581,174.764
1263.55,"2014-01-08 16:25:01",0.0000116013,-36.8581,174.764
1263.55,"2014-01-08 16:25:02",0.00000580445,-36.8581,174.764
1263.55,"2014-01-08 16:25:04",0.0000100171,-36.8581,174.764
1274.04,"2014-01-08 16:25:06",3.3898,-36.8581,174.764
1278.97,"2014-01-08 16:25:07",3.92878,-36.8582,174.764
1284.86,"2014-01-08 16:25:08",4.57115,-36.8582,174.764
1298.84,"2014-01-08 16:25:10",6.31913,-36.8584,174.764
1307.24,"2014-01-08 16:25:11",7.01848,-36.8584,174.764
1315.84,"2014-01-08 16:25:13",7.95732,-36.8585,174.764
1336.1,"2014-01-08 16:25:14",9.51262,-36.8587,174.764
